CUSTOMGeography Encoding,CUSTOMBusiness Encoding,CUSTOM Industry Outlook Weighted Average,CUSTOMPPPPC,CUSTOMPPPGDP,CUSTOMPCPIE,CUSTOMPCPI,CUSTOMNGDP_FY,CUSTOMNGDPPC,CUSTOMLUR,CUSTOMLP,CUSTOMGGX_NGDP,CUSTOMGGXWDN_NGDP,CUSTOMGGX,CUSTOMBCA,Cost of Borrowing  Capital IQ [Latest Annual] (%),Recurring Earnings / Total Assets  Capital IQ [LTM],EBITDA Margin %  Capital IQ [LTM],FFO Interest Coverage  Capital IQ [LTM],EBITDA / Interest Exp.  Capital IQ [LTM],Current Ratio  Capital IQ [LTM],(EBITDACAPEX) / Interest Exp.  Capital IQ [LTM],(FFO + Cash) to Short Term Debt  Capital IQ [LTM],Cash from Ops. to Curr. Liab.  Capital IQ [Latest Quarter],Total Debt/Equity %  Capital IQ [Latest Quarter],Total Debt/Capital %  Capital IQ [Latest Quarter],Total Liabilities/Total Assets %  Capital IQ [Latest Quarter],EBIT / Interest Exp.  Capital IQ [LTM],Total Debt/EBITDA  Capital IQ [LTM],Net Debt/EBITDA  Capital IQ [LTM],"EBITDA, Excl. Operating Leases/Interest Expense  Capital IQ [LTM]","(EBITDA, Excl. Operating LeasesCAPEX)/Interest Exp.  Capital IQ [LTM]","Total Debt / EBITDA, Excl. Operating Leases  Capital IQ [LTM]",Capex as % of Revenues  Capital IQ [Latest Annual] (%),"EBITDA, 1 Yr Growth %  Capital IQ [LTM] (%)","Normalized Net Income, 1 Yr Growth %  Capital IQ [LTM] (%)",Return on Assets %  Capital IQ [LTM],Return on Capital %  Capital IQ [LTM],Return on Equity %  Capital IQ [LTM],EBITA Margin %  Capital IQ [LTM],EBIT Margin %  Capital IQ [LTM],Net Income Margin %  Capital IQ [LTM],Levered Free Cash Flow Margin %  Capital IQ [LTM],Unlevered Free Cash Flow Margin %  Capital IQ [LTM],Current Ratio  Capital IQ [Latest Quarter],Quick Ratio  Capital IQ [Latest Quarter],CUSTOMBusiness Encoding,No Country Risk Score Known,a ,a+ ,aa ,aa+ ,aaa ,b ,b+ ,bb ,bb+ ,bbb ,bbb+ ,ccc or worse ,ccc+ ,CUSTOM Industry Outlook Weighted Average
1.5294455191547538,1.9243440026599885,12,40767.647,2503.671,127.176,126.028,1821.08,29652.924,11.0,61.413,48.49,102.306,883.036,12.402,3.56,7.09,19.2,5.13,5.78,0.886,2.6,1.69,0.336,159.4,61.4,75.8,4.12,3.89,3.38,5.68,2.51,3.95,8.18,42.7,52.7,3.8,6.71,16,15.2,13.9,4.1,14.9,17,0.886,0.534,1.9243440026599885,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
1.5992942638333543,2.2741586040322535,0,18944.826809628008,2955.88547702407,24170804645078.73,23693404961101.586,282650.05034354486,5456682.832223195,6.624319474835886,157.2325667396061,35.33808096280087,29.53931947483588,78177.03227352297,-55.47857986870896,9.8,8.1,27.7,3.68,5.11,1.11,1.91,1.89,0.227,42.9,30,52.8,3.68,1.8,1.52,5.02,1.83,1.84,14.1,18.2,115.7,5.08,7.75,7.1,23.2,20.3,5.84,20.4,17,1.11,0.546,2.2741586040322535,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.8243505198133774,1.9264983063261598,0,12368.326949404762,95.41139136904765,26.293215773809532,25.609952380952386,600.0382395833334,77983.04798065478,0.4835863095238096,1.3544464285714286,2.8695520833333337,0.05101339285714287,98.5779642857143,2.31902380952381,2.4,2.2,17.6,4.8,5.86,1.47,3.59,3.11,0.293,53.7,34.9,42.8,2.46,5.84,3.72,4.49,2.22,7.62,9.1,12.3,22.9,1.39,1.59,5.45,11.2,9.65,10.9,4.99,7.36,1.47,1.14,1.9264983063261598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.8973175833662985,1.816859035820406,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,6.3,18.4,8.43,10.5,1.48,7.52,7.73,0.227,54.4,35.2,49.4,6.6,2.75,2.07,9.83,6.85,2.93,5.31,13.3,16.7,3.65,4.68,12.4,12.9,12.3,12.4,8.28,9.44,1.48,0.952,1.816859035820406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2
2.880883468257124,-0.0,0,8803.017745849298,995.9266449553002,226.7870817369093,220.8607969348659,95916.13286206893,708990.8406360153,17.228301404853124,116.8922681992337,19.721909323116215,22.445863346104723,11753.826833971902,-3.5044086845466142,10.9,16.7,41.5,4.07,5.89,0.936,4.13,4.02,0.421,112.3,52.9,67.8,3.92,1.44,1.07,5.38,3.62,1.58,15.2,13.3,11,10.9,15.8,20.4,31.9,30.3,9.22,11.5,16.4,0.936,0.503,-0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7745085286615678,2.085269949140588,2,68190.526,575.356,101.087,100.627,709.691,84111.837,3.2,8.437,31.344,20.252,222.446,40.905,0.708,9.62,35.8,29.7,31.6,0.837,14.4,3.41,0.991,70.9,41.5,54.3,17.8,1.9,1.85,29.7,12.5,2.02,20.6,8.03,17,6.07,7.76,15.4,22.9,21.5,15.3,12.2,13,0.837,0.566,2.085269949140588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1.2432501935289357,-0.0,0,44084.86289399999,2654.4924410000003,137.96734899999998,138.007384,2404.929037,42900.124951000005,9.108581000000001,58.75881,49.868589,72.584132,1203.9960950000002,-9.109775,3.64,4.32,34.6,5.08,5.41,0.648,1.96,1.76,0.666,312.1,75.7,80,1.51,4.03,3.83,4.26,0.809,5.12,42.4,9.98,27.5,2.76,3.28,7.36,20,12.2,4.18,13.1,18.1,0.648,0.35,-0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.2027299113917076,-0.0,0,31004.605425847454,2575.3201334745763,136.60515466101694,134.71124576271188,15837.095175847458,145609.91152542373,5.530317796610171,94.04008262711862,32.30752330508475,49.19914618644068,4090.8943495762715,-5.097648305084745,3.6,6.93,16.7,5.57,10.1,0.886,7.02,7.33,0.57,59.9,37.5,54.8,6.2,2.41,2.24,9.22,6.19,2.63,5.84,55.5,124.6,4.42,6.13,3.99,12.1,11.3,3.07,7.59,8.73,0.886,0.538,-0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.6790993491509099,-0.0,0,22817.768,2924.975,138.69,135.856,25201.084,196593.956,3.766,128.188,24.745,43.128,6236.044,-38.077,6.26,10.6,12.4,2.66,5.99,0.618,2.42,1.06,0.438,119.4,54.4,67.4,3.96,2.44,2.32,5.5,1.94,2.65,7.19,5.3,31.2,6.52,9.44,25.8,9.39,8.95,10.4,0.629,0.785,0.618,0.405,-0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.132643934095098,-0.0,0,39568.375293587174,313.3649719438878,265.0728436873747,255.70360821643283,187424.05795090174,20427361.276737474,7.4008617234468925,7.494026052104206,46.311473947895784,31.722145290581167,86524.90684068136,3.6356563126252506,2.12,10.6,32.9,18.7,20.5,0.814,8.25,4.66,0.96,64.5,39.2,53.1,11,1.53,1.41,18.6,6.31,1.69,18.2,11.3,19.5,7.04,9.29,16,22.4,19.5,12.3,9.51,10.6,0.814,0.639,-0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
